CID,Label,Explanation or proof
Q302_R74_C3,Factual - Conditionally True,"(can't drive for more than a week): http://portal.www.gov.qa/wps/portal/topics/Visas,+Passports,+Official+Documents/drivinglicense and https://www.angloinfo.com/how-to/qatar/transport/driving-licences"
Q302_R74_C4,Factual - True,"(can't drive for more than a week): http://portal.www.gov.qa/wps/portal/topics/Visas,+Passports,+Official+Documents/drivinglicense and https://www.angloinfo.com/how-to/qatar/transport/driving-licences"
Q302_R74_C5,Factual - Partially True,"http://portal.www.gov.qa/wps/portal/topics/Visas,+Passports,+Official+Documents/drivinglicense
You can drive 1 week with driving license from any country"
Q302_R74_C7,Factual - Conditionally True,"http://portal.www.gov.qa/wps/portal/topics/Visas,+Passports,+Official+Documents/drivinglicense"
Q302_R79_C1,Factual - False,http://www.justhere.qa/2014/12/getting-behind-wheel-need-know-renting-car-qatar/
Q302_R79_C2,Factual - False,http://www.justhere.qa/2014/12/getting-behind-wheel-need-know-renting-car-qatar/
Q302_R79_C4,Factual - False,http://www.justhere.qa/2014/12/getting-behind-wheel-need-know-renting-car-qatar/
Q302_R79_C5,Factual - True,"https://www.angloinfo.com/how-to/qatar/transport/driving-licences

""If arriving in Qatar on a visitor’s visa it is possible to use a national licence from any country to drive a car for seven days, provided it is a rental vehicle. A driver who holds an International Driving Permit (IDP) may drive a rental vehicle for up to six months – or until the visa status changes from visitor to resident""

http://lifeinqatar.com/Pages/en/article/living/getting-around.html"
Q302_R79_C6,Factual - True,"http://portal.www.gov.qa/wps/portal/topics/Visas,+Passports,+Official+Documents/drivinglicense"
Q302_R79_C8,NonFactual,
Q303_R7_C2,Factual - True,"http://www.qatarvet.name.qa/team.html

the mobile is also on the sme clinic: 

http://www.qatarvet.name.qa/contact.html

and the other phone nnumber, too:

http://www.qatarvet.name.qa/forms/grooming_consent.pdf"
Q303_R7_C4,Factual - Partially True,"the website is with .net, not .com, but the place exists:

http://www.ppkdoha.net/"
Q303_R7_C5,Factual - True,http://www.petsofqatar.com/services/kennels-catteries/
Q303_R23_C1,Factual - True,"http://www.qaws.org/adoption/dogs.php


https://www.facebook.com/qaws.org/photos/?tab=album&album_id=139089069462372"
Q306_R20_C1,Factual - False,"(first part of the answer is correct and the rest isn't correct): http://www.qatarliving.com/forum/qatar-living-lounge/posts/how-obtain-nurse-license-here-qatar , and https://www.prometric.com/en-us/clients/schq/documents/schq.pdf and https://www.prometric.com/en-us/clients/schq/Pages/landing.aspx"
Q306_R20_C4,Factual - True,http://www.qatarliving.com/forum/qatar-living-lounge/posts/how-obtain-nurse-license-here-qatar
Q306_R20_C6,Factual - True,"http://www.qatarliving.com/forum/qatar-living-lounge/posts/how-obtain-nurse-license-here-qatar , and https://www.prometric.com/en-us/clients/schq/documents/schq.pdf 
and https://www.prometric.com/en-us/clients/schq/Pages/landing.aspx"
Q306_R20_C8,Factual - True,"http://www.qatarliving.com/forum/qatar-living-lounge/posts/how-obtain-nurse-license-here-qatar , and https://www.prometric.com/en-us/clients/schq/documents/schq.pdf 
and https://www.prometric.com/en-us/clients/schq/Pages/landing.aspx"
Q308_R32_C2,Factual - True,"designers:

https://www.facebook.com/ruksanascollection/

https://www.facebook.com/Pakistani-and-Indian-Designer-Suits-wholesale-in-Qatar-1554227314853673/

the part for selling indian textile:

http://fathomaway.com/postcards/culture/souq-waqif-doha-qatar/"
Q309_R9_C1,Factual - Responder Unsure,"(what he says is false!)
according to this site, it depends on the income, not on the gender:

http://www.onlineqatar.com/info/dependent-family-visa.aspx

http://gulfnews.com/news/gulf/qatar/women-expatriates-in-qatar-can-now-sponsor-their-husbands-and-children-1.609013"
Q309_R9_C2,Factual - Conditionally True,http://gulfnews.com/news/gulf/qatar/women-expatriates-in-qatar-can-now-sponsor-their-husbands-and-children-1.609013
Q309_R9_C3,Factual - Responder Unsure,
Q309_R9_C4,Factual - Conditionally True,"according to this site, it depends on the income, not on the gender:

http://www.onlineqatar.com/info/dependent-family-visa.aspx

http://gulfnews.com/news/gulf/qatar/women-expatriates-in-qatar-can-now-sponsor-their-husbands-and-children-1.609013"
Q309_R9_C5,Factual - Conditionally True,"according to this site, it depends on the income, not on the gender:

http://www.onlineqatar.com/info/dependent-family-visa.aspx

http://gulfnews.com/news/gulf/qatar/women-expatriates-in-qatar-can-now-sponsor-their-husbands-and-children-1.609013"
Q309_R9_C9,Factual - True,http://gulfnews.com/news/gulf/qatar/women-expatriates-in-qatar-can-now-sponsor-their-husbands-and-children-1.609013
Q309_R29_C1,Factual - True,http://www.onlineqatar.com/living/driving-license-in-qatar.aspx
Q312_R42_C2,Factual - Responder Unsure,
Q315_R36_C10,Factual - Responder Unsure,
